Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Bald Eagle-Otter Lake Regional Park,52,5,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,04:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,04:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,6,06:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,6,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,04:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,04:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,7,06:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,7,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,04:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,04:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,8,06:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,8,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,9,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,9,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,9,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,9,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,9,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,9,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,9,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,9,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,9,04:00 PM,Low,Weekday
