Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2015,4,1,1,13578.6,1,1,96.99,4,26,21,0,0,0,1600,628,1,4,3.19,60,35,66.99,0
2015,4,1,1,13882.88,1,2,51.04,0,0,16,0,0,0,1600,707,1,4,3.19,60,68,51.04,0
2015,4,1,1,19717.28,2,2,144.98,0,11,42,0,0,0,800,714,1,2,3.19,60,68,133.98,0
2015,4,1,1,31573.76,1,2,116.08,6,8,32,0,0,0,1400,602,1,4,3.19,60,68,102.08,0
2015,4,1,1,38346.56,1,2,140.98,1,6,42,0,0,0,1200,722,2,4,3.19,60,68,133.98,0
2015,4,1,1,47722.4,1,2,175.45,0,0,55,0,0,0,1000,831,2,4,3.19,60,68,175.45,0
2015,4,1,1,101583.84,1,2,373.47,1,12,113,0,0,0,1000,716,2,4,3.19,60,68,360.47,0
2016,4,1,1,5093.88,2,1,77.18,5,2,22,0,0,0,1800,529,1,2,3.19,60,33,70.18,0
2016,4,1,3,6534,3,1,11,4,7,0,0,0,0,1600,528,1,18,3.19,60,33,0,0
2016,4,1,1,6578.06,2,2,49.09,1,11,11,0,0,2,1800,711,1,2,3.19,60,67,35.09,0
2016,4,1,5,8442,3,2,7,2,5,0,0,0,0,1400,617,1,18,3.19,60,67,0,0
2016,4,1,1,11331.04,1,2,42.28,0,4,12,0,0,0,1600,705,1,4,3.19,60,67,38.28,0
2016,4,1,1,16065.72,2,1,243.42,4,2,18,3,0,0,800,904,2,2,3.19,60,33,57.42,180
2016,4,1,1,29406.96,1,1,222.78,18,7,62,0,0,0,1200,717,2,4,3.19,60,33,197.78,0
2016,4,1,4,32670,3,1,55,26,29,0,0,0,0,1600,730,2,18,3.19,60,33,0,0
2016,4,1,1,41840.16,1,2,156.12,0,3,48,0,0,0,1200,722,2,4,3.19,60,67,153.12,0
2016,4,1,1,44702.4,2,2,333.6,1,19,40,3,0,6,800,809,2,2,3.19,60,67,127.6,180
2016,4,1,1,53157.72,1,1,402.71,3,23,109,0,0,29,1400,813,2,4,3.19,60,33,347.71,0
2016,4,1,1,87253.32,1,1,661.01,21,35,179,0,0,34,1200,709,1,4,3.19,60,33,571.01,0
2016,4,1,1,95458.92,1,2,356.19,11,11,101,0,0,12,1400,718,2,4,3.19,60,67,322.19,0
2017,4,1,4,594,2,1,3,2,1,0,0,0,0,1400,716,2,6,2.67,60,33,0,0
2017,4,1,4,804,2,2,2,0,2,0,0,0,0,1600,703,1,6,2.67,60,67,0,0
2017,4,1,3,1188,3,1,3,0,3,0,0,0,0,1600,618,1,12,2.67,60,33,0,0
2017,4,1,4,1584,2,1,8,3,5,0,0,0,0,1600,529,1,6,2.67,60,33,0,0
2017,4,1,4,3618,2,2,9,3,6,0,0,0,0,1400,808,2,6,2.67,60,67,0,0
2017,4,1,3,7524,3,1,19,4,15,0,0,0,0,1200,813,2,12,2.67,60,33,0,0
2017,4,1,3,14472,3,2,18,9,9,0,0,0,0,1800,718,2,12,2.67,60,67,0,0
2017,4,1,1,17113.14,1,1,86.43,3,6,29,0,0,0,800,528,1,6,2.67,60,33,77.43,0
2017,4,1,3,19296,3,2,24,13,11,0,0,0,0,1000,714,1,12,2.67,60,67,0,0
