Q29,Q1,Q11,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
LM,Ramsey County,Battle Creek Regional Park,10,June,27,2018,10:00-12:00 PM,Yes,NA,5,2,29,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,2,August,5,2018,10:00-12:00 PM,Yes,NA,2,15,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,7,August,4,2018,8:00-10:00 AM,Yes,NA,0,3,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,1,August,2,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,1,August,2,2018,10:00-12:00 PM,Yes,NA,8,34,0,0,0,0
GE,Ramsey County,Long Lake Regional Park,2,August,1,2018,10:00-12:00 PM,Yes,NA,4,7,14,0,0,0
GE,Ramsey County,Keller Regional Park,1,August,1,2018,8:00-10:00 AM,Yes,NA,0,1,13,0,0,0
GE,Ramsey County,Birch Lake Regional Park,7,July,29,2018,8:00-10:00 AM,Yes,NA,2,11,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,6,July,27,2018,4:00-6:00 PM,Yes,NA,2,3,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,1,August,29,2018,6:00-8:00 PM,Yes,NA,0,2,0,0,0,0
GE,Ramsey County,Tony Schmidt Regional Park,1,August,29,2018,4:00-6:00 PM,Yes,NA,5,26,15,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,1,August,26,2018,2:00-4:00 PM,Yes,NA,5,14,11,0,0,0
GE,Ramsey County,Keller Regional Park,7,August,26,2018,12:00-2:00 PM,Yes,NA,0,0,47,0,0,0
GE,Ramsey County,Bruce Vento Regional Trail,12,August,25,2018,12:00-2:00 PM,Yes,NA,3,2,0,0,0,0
GE,Ramsey County,Trout Brook Regional Trail,1,August,24,2018,12:00-2:00 PM,No,8/31/2018,0,0,0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,6,August,19,2018,4:00-6:00 PM,Yes,NA,0,4,0,0,0,0
Ge,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,August,18,2018,10:00-12:00 PM,Yes,NA,5,11,11,0,0,0
GE,Ramsey County,Keller Regional Park,1,August,18,2018,8:00-10:00 AM,Yes,NA,6,8,10,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,2,August,17,2018,6:00-8:00 PM,Yes,NA,7,28,0,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,5,August,17,2018,4:00-6:00 PM,Yes,NA,0,2,0,0,0,0
GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,1,August,15,2018,12:00-2:00 PM,Yes,NA,1,2,16,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,9,August,12,2018,6:00-8:00 PM,Yes,NA,18,37,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,2,August,9,2018,8:00-10:00 AM,Yes,NA,0,9,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,1,August,8,2018,10:00-12:00 PM,Yes,NA,24,16,0,0,0,0
GE,Ramsey County,Bruce Vento Regional Trail,14,August,7,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
